name,markdown_link,url_link,keywords,group
project_main,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-project.github.io/main/pages/index.pt.md,https://mosqlimate.org/pt/,o que é mosqlimate - mudanças climáticas - vigilância epidemiológica - arboviroses - saúde pública,projeto_equipe
project_ovicounter,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-project.github.io/main/pages/egg-dataset.pt.md,https://mosqlimate.org/pt/egg-dataset/,ovicounter - dataset de ovos - aedes aegypti - monitoramento de mosquitos - visão computacional,projeto_equipe
data_platform,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/index.pt.md,https://api.mosqlimate.org/docs/,plataforma de dados - API documentation - acesso a dados - como usar a api,plataforma_auth
uid_key,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/uid-key.pt.md,https://api.mosqlimate.org/docs/uid-key/,api key - x-uid-key - autenticação github - token - autorização,plataforma_auth
datastore_base,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/index.pt.md,https://api.mosqlimate.org/docs/datastore/,datastore - api endpoints - dados disponíveis - séries temporais,plataforma_auth
datastore_infodengue,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/GET/infodengue.pt.md,https://api.mosqlimate.org/docs/datastore/GET/infodengue/,dados infodengue - casos estimados - semana epidemiológica - nível de alerta - incidência,datastores
datastore_episcanner,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/GET/episcanner.pt.md,https://api.mosqlimate.org/docs/datastore/GET/episcanner/,episcanner - scanner epidemiológico - surtos de dengue - detecção precoce,datastores
datastore_climate,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/GET/climate.pt.md,https://api.mosqlimate.org/docs/datastore/GET/climate/,dados climáticos - temperatura diária - precipitação - umidade - copernicus era5 - escala diária,datastores
datastore_climate_weekly,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/GET/climate-weekly.pt.md,https://api.mosqlimate.org/docs/datastore/GET/climate-weekly/,dados climáticos semanais - médias semanais - agregação semanal - clima por semana,datastores
datastore_mosquito,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/datastore/GET/mosquito.pt.md,https://api.mosqlimate.org/docs/datastore/GET/mosquito/,dados de mosquitos - contaovos - ovitrampa - contagem de ovos - monitoramento de vetores,datastores
registry_base,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/registry/index.pt.md,https://api.mosqlimate.org/docs/registry/,registry - repositório de modelos - model registry - metadados do modelo,registry
registry_predictions_get,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/registry/GET/predictions.pt.md,https://api.mosqlimate.org/docs/registry/GET/predictions/,consultar previsões - buscar predições - forecasts - resultados de modelos,registry
registry_models_get,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/registry/GET/models.pt.md,https://api.mosqlimate.org/docs/registry/GET/models/,consultar modelos - listar modelos - versões do modelo - autor do modelo,registry
registry_predictions_post,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/registry/POST/predictions.pt.md,https://api.mosqlimate.org/docs/registry/POST/predictions/,enviar previsões - submeter predições - upload de forecasts - post predictions,registry
registry_models_post,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/registry/POST/models.pt.md,https://api.mosqlimate.org/docs/registry/POST/models/,registrar modelo - enviar modelo - upload de modelo - adicionar ao registry,registry
vis_dashboard_how_to_use,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/vis/dashboard/how_to_use.pt.md,https://api.mosqlimate.org/docs/vis/dashboard/how-to-use/,como usar o dashboard - comparar modelos - seleção de doenças - visualização de previsões,dashboard_vis
vis_dashboard_scores,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/vis/dashboard/scores.pt.md,https://api.mosqlimate.org/docs/vis/dashboard/scores/,métricas de performance - scores de previsão - WIS - MAE - CRPS - weighted interval score,dashboard_vis
vis_dashboard_details,https://raw.githubusercontent.com/Mosqlimate-project/Data-platform/main/mkdocs/docs/vis/dashboard/details.pt.md,https://api.mosqlimate.org/docs/vis/dashboard/details/,parametrização de previsões - detalhes técnicos de scores - cálculo de métricas,dashboard_vis
