name,markdown_link,url_link,keywords,group
home,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/_index.md,https://sprint.mosqlimate.org/,IMDC - desafio dengue - sprint,overview
sprint-2024,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/sprint/2024/index.md,https://sprint.mosqlimate.org/sprint/2024/,primeira edição - sprint 2024 - regras históricas - desafio anterior,overview
sprint-2025,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/sprint/2025/index.md,https://sprint.mosqlimate.org/sprint/2025/,regras do sprint - cronograma - datas importantes - avaliação,overview
about,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/about/index.md,https://sprint.mosqlimate.org/about/,objetivos IMDC - workshop - relatório técnico,overview
calendar,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/calendar/index.md,https://sprint.mosqlimate.org/calendar/,regras - datas importantes - cronograma - submissão - desafio 2026,instructions
data-overview,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/data/_index.md,https://sprint.mosqlimate.org/data/,documentação de dados - ftp - tabelas - acesso aos dados,data
data-2024,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/data/2024/index.md,https://sprint.mosqlimate.org/data/2024/,dados 2024 - dicionário de variáveis - documentação técnica,data
data-2025,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/data/2025/index.md,https://sprint.mosqlimate.org/data/2025/,dados do sprint - população - FTP - shapefile,data
instructions-overview,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/instructions/_index.md,https://sprint.mosqlimate.org/instructions/,instruções gerais - desafios - escopo geográfico - submissão,instructions
instructions-2024,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/instructions/2024/index.md,https://sprint.mosqlimate.org/instructions/2024/,instruções 2024 - sprint template - submissão de previsões,instructions
instructions-2025,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/instructions/2025/index.md,https://sprint.mosqlimate.org/instructions/2025/,como participar - registro - template github - discord,instructions
organize,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/organize/index.md,https://sprint.mosqlimate.org/organize/,comitê científico - comissão organizadora - apoio institucional,overview
registration,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/registration/index.md,https://sprint.mosqlimate.org/registration/,inscrição - terceira edição - 2026,overview
results-2024,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/results/2024/index.md,https://sprint.mosqlimate.org/results/2024/,resultados 2024 - relatório técnico - webinar - ensemble,results
results-2025,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/refs/heads/main/pages/content/results/2025/index.md,https://sprint.mosqlimate.org/results/2025/,equipes - modelos - previsões 2026 - vencedores,results
publications,https://raw.githubusercontent.com/Mosqlimate-project/Mosqlimate-sprint-2025/main/pages/content/publications/index.md,https://sprint.mosqlimate.org/publications/,artigos - relatórios técnicos - publicações do IMDC,results
